"","fixed_acidity","volatile_acidity","citric_acidity","ph","quality"
"1",7.4,0.7,0,3.51,5
"2",7.8,0.88,0,3.2,5
"3",7.8,0.76,0.04,3.26,5
"4",11.2,0.28,0.56,3.16,6
"5",7.4,0.7,0,3.51,5
"6",7.4,0.66,0,3.51,5
"7",7.9,0.6,0.06,3.3,5
"8",7.3,0.65,0,3.39,7
"9",7.8,0.58,0.02,3.36,7
"10",7.5,0.5,0.36,3.35,5
"11",6.7,0.58,0.08,3.28,5
"12",7.5,0.5,0.36,3.35,5
"13",5.6,0.615,0,3.58,5
"14",7.8,0.61,0.29,3.26,5
"15",8.9,0.62,0.18,3.16,5
"16",8.9,0.62,0.19,3.17,5
"17",8.5,0.28,0.56,3.3,7
"18",8.1,0.56,0.28,3.11,5
"19",7.4,0.59,0.08,3.38,4
"20",7.9,0.32,0.51,3.04,6
"21",8.9,0.22,0.48,3.39,6
"22",7.6,0.39,0.31,3.52,5
"23",7.9,0.43,0.21,3.17,5
"24",8.5,0.49,0.11,3.17,5
"25",6.9,0.4,0.14,3.43,6
"26",6.3,0.39,0.16,3.34,5
"27",7.6,0.41,0.24,3.28,5
"28",7.9,0.43,0.21,3.17,5
"29",7.1,0.71,0,3.47,5
"30",7.8,0.645,0,3.38,6
"31",6.7,0.675,0.07,3.35,5
"32",6.9,0.685,0,3.46,6
"33",8.3,0.655,0.12,3.17,5
"34",6.9,0.605,0.12,3.45,6
"35",5.2,0.32,0.25,3.38,5
"36",7.8,0.645,0,3.4,6
"37",7.8,0.6,0.14,3.42,6
"38",8.1,0.38,0.28,3.23,7
"39",5.7,1.13,0.09,3.5,4
"40",7.3,0.45,0.36,3.33,5
"41",7.3,0.45,0.36,3.33,5
"42",8.8,0.61,0.3,3.26,4
"43",7.5,0.49,0.2,3.21,6
"44",8.1,0.66,0.22,3.3,5
"45",6.8,0.67,0.02,3.48,5
"46",4.6,0.52,0.15,3.9,4
"47",7.7,0.935,0.43,3.25,5
"48",8.7,0.29,0.52,3.25,5
"49",6.4,0.4,0.23,3.34,5
"50",5.6,0.31,0.37,3.32,5
"51",8.8,0.66,0.26,3.15,5
"52",6.6,0.52,0.04,3.4,6
"53",6.6,0.5,0.04,3.39,6
"54",8.6,0.38,0.36,3.2,5
"55",7.6,0.51,0.15,3.17,6
"56",7.7,0.62,0.04,3.34,5
"57",10.2,0.42,0.57,3.04,5
"58",7.5,0.63,0.12,3.26,5
"59",7.8,0.59,0.18,3.43,5
"60",7.3,0.39,0.31,3.41,6
"61",8.8,0.4,0.4,3.44,5
"62",7.7,0.69,0.49,3.21,5
"63",7.5,0.52,0.16,3.38,7
"64",7,0.735,0.05,3.39,5
"65",7.2,0.725,0.05,3.41,5
"66",7.2,0.725,0.05,3.41,5
"67",7.5,0.52,0.11,3.42,5
"68",6.6,0.705,0.07,3.44,5
"69",9.3,0.32,0.57,3.28,5
"70",8,0.705,0.05,3.34,6
"71",7.7,0.63,0.08,3.32,6
"72",7.7,0.67,0.23,3.32,5
"73",7.7,0.69,0.22,3.31,5
"74",8.3,0.675,0.26,3.31,4
"75",9.7,0.32,0.54,3.28,5
"76",8.8,0.41,0.64,3.54,5
"77",8.8,0.41,0.64,3.54,5
"78",6.8,0.785,0,3.52,6
"79",6.7,0.75,0.12,3.38,5
"80",8.3,0.625,0.2,3.16,4
"81",6.2,0.45,0.2,3.41,5
"82",7.8,0.43,0.7,3.13,5
"83",7.4,0.5,0.47,3.36,5
"84",7.3,0.67,0.26,3.16,5
"85",6.3,0.3,0.48,3.44,6
"86",6.9,0.55,0.15,3.41,5
"87",8.6,0.49,0.28,2.93,6
"88",7.7,0.49,0.26,3.39,5
"89",9.3,0.39,0.44,3.14,5
"90",7,0.62,0.08,3.48,5
"91",7.9,0.52,0.26,3.23,5
"92",8.6,0.49,0.28,2.93,6
"93",8.6,0.49,0.29,2.93,5
"94",7.7,0.49,0.26,3.39,5
"95",5,1.02,0.04,3.75,4
"96",4.7,0.6,0.17,3.85,6
"97",6.8,0.775,0,3.45,5
"98",7,0.5,0.25,3.25,5
"99",7.6,0.9,0.06,3.39,5
"100",8.1,0.545,0.18,3.3,6
"101",8.3,0.61,0.3,3.4,6
"102",7.8,0.5,0.3,3.31,6
"103",8.1,0.545,0.18,3.3,6
"104",8.1,0.575,0.22,3.29,5
"105",7.2,0.49,0.24,3.33,5
"106",8.1,0.575,0.22,3.29,5
"107",7.8,0.41,0.68,3.08,5
"108",6.2,0.63,0.31,3.46,5
"109",8,0.33,0.53,3.37,6
"110",8.1,0.785,0.52,3.21,5
"111",7.8,0.56,0.19,3.19,5
"112",8.4,0.62,0.09,3.15,5
"113",8.4,0.6,0.1,3.15,5
"114",10.1,0.31,0.44,3.32,6
"115",7.8,0.56,0.19,3.19,5
"116",9.4,0.4,0.31,3.07,6
"117",8.3,0.54,0.28,3.39,6
"118",7.8,0.56,0.12,3.37,6
"119",8.8,0.55,0.04,3.21,6
"120",7,0.69,0.08,3.34,6
"121",7.3,1.07,0.09,3.3,5
"122",8.8,0.55,0.04,3.21,6
"123",7.3,0.695,0,3.49,5
"124",8,0.71,0,3.44,5
"125",7.8,0.5,0.17,3.39,5
"126",9,0.62,0.04,3.16,5
"127",8.2,1.33,0,3.53,5
"128",8.1,1.33,0,3.54,5
"129",8,0.59,0.16,3.42,7
"130",6.1,0.38,0.15,3.42,5
"131",8,0.745,0.56,3.24,5
"132",5.6,0.5,0.09,3.63,5
"133",5.6,0.5,0.09,3.63,5
"134",6.6,0.5,0.01,3.4,6
"135",7.9,1.04,0.05,3.22,6
"136",8.4,0.745,0.11,3.19,5
"137",8.3,0.715,0.15,3.23,5
"138",7.2,0.415,0.36,3.48,5
"139",7.8,0.56,0.19,3.33,5
"140",7.8,0.56,0.19,3.32,5
"141",8.4,0.745,0.11,3.19,5
"142",8.3,0.715,0.15,3.23,5
"143",5.2,0.34,0,3.68,6
"144",6.3,0.39,0.08,3.34,5
"145",5.2,0.34,0,3.68,6
"146",8.1,0.67,0.55,3.17,5
"147",5.8,0.68,0.02,3.54,5
"148",7.6,0.49,0.26,3.11,5
"149",6.9,0.49,0.1,3.42,6
"150",8.2,0.4,0.44,3.53,6
"151",7.3,0.33,0.47,3.33,6
"152",9.2,0.52,1,2.74,4
"153",7.5,0.6,0.03,3.35,5
"154",7.5,0.6,0.03,3.35,5
"155",7.1,0.43,0.42,3.42,5
"156",7.1,0.43,0.42,3.42,5
"157",7.1,0.43,0.42,3.42,5
"158",7.1,0.43,0.42,3.42,5
"159",7.1,0.68,0,3.48,5
"160",6.8,0.6,0.18,3.59,6
"161",7.6,0.95,0.03,3.2,5
"162",7.6,0.68,0.02,3.17,4
"163",7.8,0.53,0.04,3.33,6
"164",7.4,0.6,0.26,3.37,5
"165",7.3,0.59,0.26,3.37,5
"166",7.8,0.63,0.48,3.19,5
"167",6.8,0.64,0.1,3.34,5
"168",7.3,0.55,0.03,3.37,4
"169",6.8,0.63,0.07,3.47,6
"170",7.5,0.705,0.24,3,5
"171",7.9,0.885,0.03,3.36,4
"172",8,0.42,0.17,3.29,6
"173",8,0.42,0.17,3.29,6
"174",7.4,0.62,0.05,3.42,6
"175",7.3,0.38,0.21,3.33,5
"176",6.9,0.5,0.04,3.35,5
"177",7.3,0.38,0.21,3.33,5
"178",7.5,0.52,0.42,3.58,6
"179",7,0.805,0,3.48,5
"180",8.8,0.61,0.14,3.19,5
"181",8.8,0.61,0.14,3.19,5
"182",8.9,0.61,0.49,3.12,5
"183",7.2,0.73,0.02,3.44,5
"184",6.8,0.61,0.2,3.54,5
"185",6.7,0.62,0.21,3.52,6
"186",8.9,0.31,0.57,3.26,5
"187",7.4,0.39,0.48,3.34,5
"188",7.7,0.705,0.1,3.39,5
"189",7.9,0.5,0.33,3.2,5
"190",7.9,0.49,0.32,3.2,5
"191",8.2,0.5,0.35,3.23,5
"192",6.4,0.37,0.25,3.57,6
"193",6.8,0.63,0.12,3.28,5
"194",7.6,0.55,0.21,3.28,5
"195",7.6,0.55,0.21,3.28,5
"196",7.8,0.59,0.33,3.25,5
"197",7.3,0.58,0.3,3.46,5
"198",11.5,0.3,0.6,3.11,6
"199",5.4,0.835,0.08,3.57,7
"200",6.9,1.09,0.06,3.51,4
"201",9.6,0.32,0.47,3.22,7
"202",8.8,0.37,0.48,3.04,5
"203",6.8,0.5,0.11,3.36,5
"204",7,0.42,0.35,3.34,5
"205",7,0.43,0.36,3.34,6
"206",12.8,0.3,0.74,3.2,7
"207",12.8,0.3,0.74,3.2,7
"208",7.8,0.57,0.31,3.29,5
"209",7.8,0.44,0.28,3.22,5
"210",11,0.3,0.58,3.31,7
"211",9.7,0.53,0.6,3.3,6
"212",8,0.725,0.24,3.35,6
"213",11.6,0.44,0.64,3.21,6
"214",8.2,0.57,0.26,3.3,5
"215",7.8,0.735,0.08,3.24,6
"216",7,0.49,0.49,3.34,5
"217",8.7,0.625,0.16,3.14,5
"218",8.1,0.725,0.22,3.36,5
"219",7.5,0.49,0.19,3.39,5
"220",7.8,0.53,0.33,3.3,5
"221",7.8,0.34,0.37,3.34,6
"222",7.4,0.53,0.26,3.15,5
"223",6.8,0.61,0.04,3.42,5
"224",8.6,0.645,0.25,3.28,6
"225",8.4,0.635,0.36,3.31,4
"226",7.7,0.43,0.25,3.37,6
"227",8.9,0.59,0.5,3.04,6
"228",9,0.82,0.14,3.39,5
"229",7.7,0.43,0.25,3.37,6
"230",6.9,0.52,0.25,3.46,5
"231",5.2,0.48,0.04,3.54,7
"232",8,0.38,0.06,3.37,6
"233",8.5,0.37,0.2,3.34,6
"234",6.9,0.52,0.25,3.46,5
"235",8.2,1,0.09,3.32,6
"236",7.2,0.63,0,3.37,6
"237",7.2,0.63,0,3.37,6
"238",7.2,0.645,0,3.37,6
"239",7.2,0.63,0,3.37,6
"240",8.2,1,0.09,3.32,6
"241",8.9,0.635,0.37,3,5
"242",12,0.38,0.56,3.14,6
"243",7.7,0.58,0.1,3.08,6
"244",15,0.21,0.44,3.07,7
"245",15,0.21,0.44,3.07,7
"246",7.3,0.66,0,3.61,6
"247",7.1,0.68,0.07,3.38,5
"248",8.2,0.6,0.17,3.2,5
"249",7.7,0.53,0.06,3.35,6
"250",7.3,0.66,0,3.61,6
"251",10.8,0.32,0.44,3.22,6
"252",7.1,0.6,0,3.47,6
"253",11.1,0.35,0.48,3.17,5
"254",7.7,0.775,0.42,3.23,5
"255",7.1,0.6,0,3.47,6
"256",8,0.57,0.23,3.26,5
"257",9.4,0.34,0.37,3.22,5
"258",6.6,0.695,0,3.49,5
"259",7.7,0.41,0.76,3.06,5
"260",10,0.31,0.47,3.36,7
"261",7.9,0.33,0.23,3.29,5
"262",7,0.975,0.04,3.35,4
"263",8,0.52,0.03,3.34,5
"264",7.9,0.37,0.23,3.28,5
"265",12.5,0.56,0.49,3.08,5
"266",11.8,0.26,0.52,3.2,7
"267",8.1,0.87,0,3.6,4
"268",7.9,0.35,0.46,3.35,8
"269",6.9,0.54,0.04,3.69,6
"270",11.5,0.18,0.51,3.28,6
"271",7.9,0.545,0.06,3.36,6
"272",11.5,0.18,0.51,3.28,6
"273",10.9,0.37,0.58,3.22,5
"274",8.4,0.715,0.2,3.31,5
"275",7.5,0.65,0.18,3.38,5
"276",7.9,0.545,0.06,3.36,6
"277",6.9,0.54,0.04,3.69,6
"278",11.5,0.18,0.51,3.28,6
"279",10.3,0.32,0.45,3.23,8
"280",8.9,0.4,0.32,3.38,7
"281",11.4,0.26,0.44,3.12,6
"282",7.7,0.27,0.68,3.25,7
"283",7.6,0.52,0.12,3.36,5
"284",8.9,0.4,0.32,3.38,7
"285",9.9,0.59,0.07,3.31,5
"286",9.9,0.59,0.07,3.31,5
"287",12,0.45,0.55,3.1,6
"288",7.5,0.4,0.12,3.37,6
"289",8.7,0.52,0.09,3.34,7
"290",11.6,0.42,0.53,3.2,5
"291",8.7,0.52,0.09,3.34,7
"292",11,0.2,0.48,3.3,5
"293",10.4,0.55,0.23,3.22,6
"294",6.9,0.36,0.25,3.41,6
"295",13.3,0.34,0.52,3.05,6
"296",10.8,0.5,0.46,3.05,5
"297",10.6,0.83,0.37,3.16,5
"298",7.1,0.63,0.06,3.67,5
"299",7.2,0.65,0.02,3.67,5
"300",6.9,0.67,0.06,3.68,5
"301",7.5,0.53,0.06,3.38,6
"302",11.1,0.18,0.48,3.22,6
"303",8.3,0.705,0.12,3.51,5
"304",7.4,0.67,0.12,3.39,5
"305",8.4,0.65,0.6,3.2,5
"306",10.3,0.53,0.48,3.12,6
"307",7.6,0.62,0.32,3.36,5
"308",10.3,0.41,0.42,3.19,6
"309",10.3,0.43,0.44,3.19,6
"310",7.4,0.29,0.38,3.41,6
"311",10.3,0.53,0.48,3.12,6
"312",7.9,0.53,0.24,3.27,6
"313",9,0.46,0.31,3.32,6
"314",8.6,0.47,0.3,3.3,5
"315",7.4,0.36,0.29,3.39,5
"316",7.1,0.35,0.29,3.42,6
"317",9.6,0.56,0.23,3.3,5
"318",9.6,0.77,0.12,3.3,6
"319",9.8,0.66,0.39,3.37,7
"320",9.6,0.77,0.12,3.3,6
"321",9.8,0.66,0.39,3.37,7
"322",9.3,0.61,0.26,3.24,5
"323",7.8,0.62,0.05,3.29,5
"324",10.3,0.59,0.42,3.28,6
"325",10,0.49,0.2,3.16,6
"326",10,0.49,0.2,3.16,6
"327",11.6,0.53,0.66,3.05,7
"328",10.3,0.44,0.5,3.28,5
"329",13.4,0.27,0.62,3.16,6
"330",10.7,0.46,0.39,3.18,5
"331",10.2,0.36,0.64,3.23,6
"332",10.2,0.36,0.64,3.23,6
"333",8,0.58,0.28,3.22,6
"334",8.4,0.56,0.08,3.13,5
"335",7.9,0.65,0.01,3.34,7
"336",11.9,0.695,0.53,3.17,7
"337",8.9,0.43,0.45,3.35,6
"338",7.8,0.43,0.32,3.31,5
"339",12.4,0.49,0.58,3.16,6
"340",12.5,0.28,0.54,3.11,7
"341",12.2,0.34,0.5,3.12,6
"342",10.6,0.42,0.48,3.21,6
"343",10.9,0.39,0.47,3.3,6
"344",10.9,0.39,0.47,3.3,6
"345",11.9,0.57,0.5,3.12,6
"346",7,0.685,0,3.6,5
"347",6.6,0.815,0.02,3.58,7
"348",13.8,0.49,0.67,3.02,6
"349",9.6,0.56,0.31,3.11,6
"350",9.1,0.785,0,3.36,6
"351",10.7,0.67,0.22,3.28,6
"352",9.1,0.795,0,3.35,6
"353",7.7,0.665,0,3.27,5
"354",13.5,0.53,0.79,3.18,5
"355",6.1,0.21,0.4,3.25,6
"356",6.7,0.75,0.01,3.55,6
"357",11.5,0.41,0.52,3.26,5
"358",10.5,0.42,0.66,3.24,7
"359",11.9,0.43,0.66,3.15,7
"360",12.6,0.38,0.66,3.17,6
"361",8.2,0.7,0.23,3.19,5
"362",8.6,0.45,0.31,3.37,6
"363",11.9,0.58,0.66,3.05,5
"364",12.5,0.46,0.63,2.99,5
"365",12.8,0.615,0.66,3.07,7
"366",10,0.42,0.5,3.26,6
"367",12.8,0.615,0.66,3.07,7
"368",10.4,0.575,0.61,3.16,5
"369",10.3,0.34,0.52,3.18,5
"370",9.4,0.27,0.53,3.2,7
"371",6.9,0.765,0.02,3.57,5
"372",7.9,0.24,0.4,3.32,6
"373",9.1,0.28,0.48,3.32,6
"374",7.4,0.55,0.22,3.05,5
"375",14,0.41,0.63,3.01,6
"376",11.5,0.54,0.71,3.01,7
"377",11.5,0.45,0.5,3.26,6
"378",9.4,0.27,0.53,3.2,7
"379",11.4,0.625,0.66,3.11,6
"380",8.3,0.42,0.38,3.31,6
"381",8.3,0.26,0.42,3.21,6
"382",13.7,0.415,0.68,3.06,6
"383",8.3,0.26,0.42,3.21,6
"384",8.3,0.26,0.42,3.21,6
"385",7.7,0.51,0.28,3.42,5
"386",7.4,0.63,0.07,3.43,6
"387",7.8,0.54,0.26,3.41,6
"388",8.3,0.66,0.15,3.31,6
"389",7.8,0.46,0.26,3.43,6
"390",9.6,0.38,0.31,3.19,7
"391",5.6,0.85,0.05,3.56,8
"392",13.7,0.415,0.68,3.06,6
"393",9.5,0.37,0.52,3.18,5
"394",8.4,0.665,0.61,3.16,5
"395",12.7,0.6,0.65,3.03,5
"396",12,0.37,0.76,3.22,7
"397",6.6,0.735,0.02,3.47,5
"398",11.5,0.59,0.59,3.18,6
"399",11.5,0.59,0.59,3.18,6
"400",8.7,0.765,0.22,3.1,5
"401",6.6,0.735,0.02,3.47,5
"402",7.7,0.26,0.3,3.29,6
"403",12.2,0.48,0.54,3.1,6
"404",11.4,0.6,0.49,3.15,6
"405",7.7,0.69,0.05,3.26,5
"406",8.7,0.31,0.46,3.36,6
"407",9.8,0.44,0.47,3.24,6
"408",12,0.39,0.66,3.18,7
"409",10.4,0.34,0.58,3.19,6
"410",12.5,0.46,0.49,3.05,4
"411",9,0.43,0.34,3.38,6
"412",9.1,0.45,0.35,3.38,5
"413",7.1,0.735,0.16,3.27,5
"414",9.9,0.4,0.53,3.27,7
"415",8.8,0.52,0.34,3.26,5
"416",8.6,0.725,0.24,3.32,5
"417",10.6,0.48,0.64,3.26,6
"418",7,0.58,0.12,3.44,5
"419",11.9,0.38,0.51,3.24,6
"420",6.8,0.77,0,3.62,5
"421",9.5,0.56,0.33,3.28,7
"422",6.6,0.84,0.03,3.52,7
"423",7.7,0.96,0.2,3.36,5
"424",10.5,0.24,0.47,3.15,7
"425",7.7,0.96,0.2,3.36,5
"426",6.6,0.84,0.03,3.52,7
"427",6.4,0.67,0.08,3.49,6
"428",9.5,0.78,0.22,3.26,6
"429",9.1,0.52,0.33,3.24,5
"430",12.8,0.84,0.63,3.1,6
"431",10.5,0.24,0.47,3.15,7
"432",7.8,0.55,0.35,3.25,5
"433",11.9,0.37,0.69,3,6
"434",12.3,0.39,0.63,3.16,5
"435",10.4,0.41,0.55,3.15,6
"436",12.3,0.39,0.63,3.16,5
"437",8,0.67,0.3,3.26,6
"438",11.1,0.45,0.73,3.17,6
"439",10.4,0.41,0.55,3.15,6
"440",7,0.62,0.18,3.08,5
"441",12.6,0.31,0.72,2.88,8
"442",11.9,0.4,0.65,3.06,6
"443",15.6,0.685,0.76,2.95,7
"444",10,0.44,0.49,3.23,7
"445",5.3,0.57,0.01,3.57,7
"446",9.5,0.735,0.1,3.23,6
"447",12.5,0.38,0.6,3.1,5
"448",9.3,0.48,0.29,3.22,5
"449",8.6,0.53,0.22,3.2,6
"450",11.9,0.39,0.69,3.1,6
"451",11.9,0.39,0.69,3.1,6
"452",8.4,0.37,0.53,3.06,6
"453",6.8,0.56,0.03,3.44,6
"454",10.4,0.33,0.63,3.26,7
"455",7,0.23,0.4,3.5,5
"456",11.3,0.62,0.67,3.22,8
"457",8.9,0.59,0.39,3.37,5
"458",9.2,0.63,0.21,3.28,5
"459",10.4,0.33,0.63,3.26,7
"460",11.6,0.58,0.66,3.25,3
"461",9.2,0.43,0.52,3.35,6
"462",8.3,0.615,0.22,3.26,5
"463",11,0.26,0.68,3.18,5
"464",8.1,0.66,0.7,3.08,5
"465",11.5,0.315,0.54,2.98,6
"466",10,0.29,0.4,3.48,5
"467",10.3,0.5,0.42,3.16,6
"468",8.8,0.46,0.45,3.32,6
"469",11.4,0.36,0.69,3.17,6
"470",8.7,0.82,0.02,3.2,5
"471",13,0.32,0.65,3.05,5
"472",9.6,0.54,0.42,3.2,6
"473",12.5,0.37,0.55,3.15,6
"474",9.9,0.35,0.55,3.26,5
"475",10.5,0.28,0.51,3.2,6
"476",9.6,0.68,0.24,3.14,5
"477",9.3,0.27,0.41,3.28,5
"478",10.4,0.24,0.49,3.18,6
"479",9.6,0.68,0.24,3.14,5
"480",9.4,0.685,0.11,3.19,6
"481",10.6,0.28,0.39,3.12,5
"482",9.4,0.3,0.56,3.15,8
"483",10.6,0.36,0.59,3.04,5
"484",10.6,0.36,0.6,3.04,5
"485",10.6,0.44,0.68,3.06,6
"486",10.2,0.67,0.39,3.17,5
"487",10.2,0.67,0.39,3.17,5
"488",10.2,0.645,0.36,3.17,6
"489",11.6,0.32,0.55,3.32,7
"490",9.3,0.39,0.4,3.34,6
"491",9.3,0.775,0.27,3.31,6
"492",9.2,0.41,0.5,3.34,7
"493",8.9,0.4,0.51,3.32,7
"494",8.7,0.69,0.31,3.48,6
"495",6.5,0.39,0.23,3.44,6
"496",10.7,0.35,0.53,3.15,8
"497",7.8,0.52,0.25,3.43,6
"498",7.2,0.34,0.32,3.32,5
"499",10.7,0.35,0.53,3.15,8
"500",8.7,0.69,0.31,3.48,6
"501",7.8,0.52,0.25,3.43,6
"502",10.4,0.44,0.73,3.17,7
"503",10.4,0.44,0.73,3.17,7
"504",10.5,0.26,0.47,3.18,7
"505",10.5,0.24,0.42,3.21,7
"506",10.2,0.49,0.63,3.16,7
"507",10.4,0.24,0.46,3.25,7
"508",11.2,0.67,0.55,3.17,6
"509",10,0.59,0.31,3.18,6
"510",13.3,0.29,0.75,3.04,7
"511",12.4,0.42,0.49,3.02,5
"512",10,0.59,0.31,3.18,6
"513",10.7,0.4,0.48,3.03,6
"514",10.5,0.51,0.64,3.09,7
"515",10.5,0.51,0.64,3.09,7
"516",8.5,0.655,0.49,3.31,5
"517",12.5,0.6,0.49,3.25,6
"518",10.4,0.61,0.49,3.16,3
"519",10.9,0.21,0.49,3.22,6
"520",7.3,0.365,0.49,3.36,5
"521",9.8,0.25,0.49,3.42,6
"522",7.6,0.41,0.49,3.48,5
"523",8.2,0.39,0.49,3.38,5
"524",9.3,0.4,0.49,3.22,5
"525",9.2,0.43,0.49,3.23,5
"526",10.4,0.64,0.24,3.24,5
"527",7.3,0.365,0.49,3.36,5
"528",7,0.38,0.49,3.39,6
"529",8.2,0.42,0.49,3.34,6
"530",9.9,0.63,0.24,3.09,5
"531",9.1,0.22,0.24,3.41,6
"532",11.9,0.38,0.49,3.16,5
"533",11.9,0.38,0.49,3.16,5
"534",10.3,0.27,0.24,3.22,6
"535",10,0.48,0.24,3.28,6
"536",9.1,0.22,0.24,3.41,6
"537",9.9,0.63,0.24,3.09,5
